2025-11-29 15:56:55, MOVE, v:1, k:poo@contato, mode:PICK
2025-11-29 15:56:56, EXEC, v:1, k:poo@contato, mode:FULL, rate:0
2025-11-29 15:56:58, MOVE, v:1, k:poo@contato, mode:BACK
2025-11-29 15:58:35, MOVE, v:1, k:poo@contato, mode:PICK
2025-11-29 15:58:36, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:108
2025-11-29 15:58:55, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:109
2025-11-29 16:03:05, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:109
2025-11-29 16:03:41, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:109
2025-11-29 16:04:15, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:108
2025-11-29 16:05:16, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:108
2025-11-29 16:05:53, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:108
2025-11-29 16:06:15, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:108
2025-11-29 16:06:37, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:108
2025-11-29 16:07:43, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:108
2025-11-29 16:08:17, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:108
2025-11-29 16:14:20, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:112
2025-11-29 16:15:15, EXEC, v:1, k:poo@contato, mode:FULL, rate:0
2025-11-29 16:17:23, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:104
2025-11-29 16:18:08, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:104
2025-11-29 16:19:41, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:91
2025-11-29 16:20:27, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:92
2025-11-29 16:21:15, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:92
2025-11-29 16:22:50, EXEC, v:1, k:poo@contato, mode:FULL, rate:0, size:88
2025-11-29 16:23:22, EXEC, v:1, k:poo@contato, mode:FULL, rate:20, size:88
2025-11-29 16:25:24, EXEC, v:1, k:poo@contato, mode:FULL, rate:20, size:87
2025-11-29 16:26:22, EXEC, v:1, k:poo@contato, mode:FULL, rate:20, size:87
2025-11-29 16:27:10, EXEC, v:1, k:poo@contato, mode:FULL, rate:20, size:87
2025-11-29 16:29:05, EXEC, v:1, k:poo@contato, mode:FULL, rate:20, size:87
2025-11-29 16:29:43, EXEC, v:1, k:poo@contato, mode:FULL, rate:20, size:87
2025-11-29 16:31:41, EXEC, v:1, k:poo@contato, mode:FULL, rate:20, size:86
2025-11-29 16:33:34, EXEC, v:1, k:poo@contato, mode:FULL, rate:20, size:87
2025-11-29 16:35:20, EXEC, v:1, k:poo@contato, mode:FULL, rate:20, size:84
2025-11-29 16:37:55, EXEC, v:1, k:poo@contato, mode:FULL, rate:100, size:72
2025-11-29 16:38:27, MOVE, v:1, k:poo@contato, mode:BACK
